,volume_BTC,open_BTC,low_BTC,high_BTC,close_BTC,volume_ETH,open_ETH,low_ETH,high_ETH,close_ETH
2023-02-14,14748.04731,21775,21510.5,22328,22118.5,153188.9841,1506.6,1485.25,1568.55,1548.25
2023-02-15,27070.36997,22119,22099,24943,24643,257428.6268,1547.85,1544.3,1714.55,1682.1
2023-02-16,30927.30116,24643,23355,25306,23646.5,245993.4606,1682.1,1632,1744.65,1653.1
2023-02-17,19718.98681,23646.5,23549.5,25061,24541,155427.626,1653.1,1646.3,1723.4,1691.75
2023-02-18,5265.306835,24541,24463.5,24918,24591.5,45970.44676,1691.75,1678.8,1714,1693.45
2023-02-19,11607.8552,24591.5,23842,25239.5,24516.5,80249.18567,1693.5,1651.6,1728.1,1696.1
2023-02-20,11940.39499,24516.5,24389.5,25143,25007,79702.52789,1696.1,1685.3,1720,1704.75
2023-02-21,19470.65654,25007,23861.5,25300,24074.5,114658.4886,1704.75,1621.9,1715.75,1644.4
2023-02-22,17116.71324,24074,23586,24610,24394.5,122884.8732,1644.4,1598,1680,1667.7
2023-02-23,17806.33445,24394.5,23620,24504.5,23854,143223.183,1667.55,1629.45,1673.85,1651.45
2023-02-24,15091.16282,23854,22844,24045.5,23119,136094.9351,1651.45,1574.9,1657.3,1603.3
2023-02-25,4652.280339,23118.5,22756.5,23253,23157,54372.15477,1603.3,1558.7,1607.85,1600.05
2023-02-26,5954.19923,23157.5,23122,23695,23427,57662.97781,1600,1595.1,1652.25,1637.05
2023-02-27,9825.094334,23427.5,23123.5,23900,23239.5,83851.95365,1637.1,1608,1665,1619.05
2023-02-28,10120.98558,23239.5,23026,23854,23724,100973.7151,1619.05,1594.65,1661.5,1651.5
2023-03-01,10409.69887,23723.5,23312.5,24020,23402.5,88708.71217,1651.5,1632.15,1679,1644.65
2023-03-02,19105.86631,23402,21959.5,23571,22351,196936.0327,1644.65,1529.7,1658.2,1569.25
2023-03-03,7808.008543,22350.5,22144.5,22494,22359.5,79064.05214,1569.25,1545.75,1581.65,1569.05
2023-03-04,4187.543204,22359.5,22164.5,22654.5,22383.5,44296.23623,1569.05,1549.05,1588.95,1569.2
2023-03-05,3890.81248,22383.5,22266,22553,22381.5,40969.81943,1569.2,1554,1579.7,1560.8
2023-03-06,5350.144495,22381.5,22299.5,22602,22421.5,53596.03492,1560.8,1557.15,1584.25,1571.25
2023-03-07,12003.32006,22421.5,21829,22484,21962,108128.1012,1571.65,1531.35,1572.7,1551.75
2023-03-08,9910.862339,21961.5,21575,22219,21679,86017.0831,1551.75,1521.85,1566.55,1536.5
2023-03-09,29846.58996,21678.5,19772.5,21829.5,19940.5,379057.3584,1536.5,1392.55,1545.8,1412.25
2023-03-10,33269.23937,19940.5,19554,20869,19944.5,349611.5184,1412.3,1369.45,1489.5,1423.55
2023-03-11,22145.2953,19943,19860,20658.5,20518.5,262142.3464,1423.45,1415,1487.1,1470.45
2023-03-12,40255.15817,20518.5,20435,22781,22553,350611.7857,1470.5,1458,1636.35,1614.1
2023-03-13,53143.16048,22553,21861.5,24926,24369.5,385557.2481,1614.1,1569.3,1706.75,1674.8
2023-03-14,52961.37032,24369.5,24014.5,26695,25001.5,388579.7625,1674.75,1663.8,1785,1713
2023-03-15,32445.64964,25005,23913.5,25316,24658,265172.3191,1713,1614.5,1713.25,1659.4
2023-03-16,33444.64119,24657.5,24437.5,26290.5,26178,180458.7211,1659.45,1640.7,1735.95,1721.85
2023-03-17,39406.42715,26178,26015,27877,27419,230289.7094,1721.85,1706.7,1838.8,1820
2023-03-18,12778.62227,27419,26656.5,27734,27043.5,108590.2773,1820.15,1752.65,1849,1779.4
2023-03-19,19886.4702,27043.5,26950.5,28500,28285,166399.9406,1779.4,1743.5,1848,1797
2023-03-20,20323.53449,28285,27400,28590.5,27599,135880.3977,1796.95,1725,1808.9,1736.7
2023-03-21,14438.74407,27599.5,27491,28547.5,28167,151116.8061,1736.7,1731.85,1841.35,1797.45
2023-03-22,30887.40161,28167,26657.5,28960,27723.5,197355.8003,1797.5,1714.15,1824.5,1756.1
2023-03-23,23981.72001,27723.5,27344,28860,28349.5,216759.8473,1756.15,1746.15,1862.3,1818.8
